,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
0,2019-01-01,00:00,0.0,999.8,999.8,998.8,-9999,24.3,22.2,24.7,24.3,22.3,22.1,88,86,88,270,0.0,0.0,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
1,2019-01-01,04:00,0.2,1000.0,1000.5,1000.0,-9999,23.7,22.2,24.0,23.7,22.4,22.2,91,91,91,252,0.0,0.0,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
2,2019-01-01,08:00,0.0,999.2,999.3,999.1,-9999,23.6,22.2,23.7,23.5,22.3,22.1,92,92,92,89,0.0,0.0,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
3,2019-01-01,12:00,0.0,1002.3,1002.3,1001.7,558,25.2,23.3,25.3,24.0,23.6,22.6,92,89,90,94,2.3,0.5,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
4,2019-01-01,16:00,0.0,1000.5,1001.6,1000.5,1887,28.0,22.1,29.0,27.1,23.2,21.8,76,67,70,82,5.7,3.0,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
5,2019-01-01,20:00,0.0,998.1,998.4,997.8,791,28.0,21.1,28.2,27.3,22.0,21.1,71,65,66,103,4.5,1.2,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
6,2019-01-02,00:00,0.0,1000.0,1000.0,999.0,-9999,24.1,21.7,24.9,24.1,21.9,21.7,87,83,86,276,0.0,0.0,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
7,2019-01-02,04:00,0.0,1000.1,1000.9,1000.1,-9999,22.6,21.1,22.8,22.6,21.3,21.1,91,91,91,67,0.0,0.0,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
8,2019-01-02,08:00,0.0,999.6,999.6,999.1,-9999,22.5,21.1,22.5,22.4,21.1,21.0,92,92,92,70,0.0,0.0,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
9,2019-01-02,12:00,0.0,1002.5,1002.5,1001.8,664,25.1,23.2,25.1,23.4,23.2,22.0,92,89,90,168,1.3,0.1,N,PA,PLACAS,A211,-3.86404,-54.216416,100.45
