,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
0,2019-01-01,00:00,0.0,1001.6,1001.6,1000.8,-9999,28.5,19.6,29.7,28.5,19.6,19.2,59,53,59,46,8.1,2.9,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
1,2019-01-01,04:00,0.0,1002.1,1002.6,1002.1,-9999,26.3,19.5,26.5,26.2,19.9,19.5,68,66,66,52,8.5,3.6,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
2,2019-01-01,08:00,0.0,1001.4,1001.4,1001.0,-9999,25.1,19.5,25.2,25.1,19.8,19.5,72,71,71,54,6.3,2.8,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
3,2019-01-01,12:00,0.0,1004.0,1004.0,1003.1,704,26.2,19.6,26.2,24.4,19.7,19.3,74,67,67,57,9.0,3.4,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
4,2019-01-01,16:00,0.0,1002.7,1003.6,1002.7,3322,31.7,16.7,32.3,30.7,17.4,16.3,44,40,41,53,9.3,3.7,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
5,2019-01-01,20:00,0.0,1000.2,1000.3,1000.1,1359,33.3,17.1,34.3,31.2,17.4,15.9,42,34,38,70,6.3,2.2,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
6,2019-01-02,00:00,0.0,1001.6,1001.6,1001.1,-9999,28.9,17.5,29.5,28.9,17.5,16.6,50,46,50,74,5.4,1.5,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
7,2019-01-02,04:00,0.0,1002.3,1002.5,1002.3,-9999,26.3,19.1,27.0,26.3,19.1,18.6,64,60,64,91,5.3,1.0,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
8,2019-01-02,08:00,0.0,1002.0,1002.0,1001.4,-9999,24.4,19.7,24.8,24.3,19.8,19.5,76,73,76,74,5.1,2.0,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
9,2019-01-02,12:00,0.0,1005.2,1005.2,1004.2,776,26.4,19.8,26.4,24.2,19.9,19.7,76,67,67,57,8.2,3.1,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
10,2019-01-02,16:00,0.0,1004.5,1005.5,1004.5,1382,29.6,19.6,29.6,28.3,19.6,18.9,57,54,55,52,10.0,3.2,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
11,2019-01-02,20:00,0.0,1001.0,1001.3,1001.0,2053,31.4,20.0,31.6,30.0,21.6,19.1,60,49,51,55,6.9,2.4,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
12,2019-01-03,00:00,0.0,1001.6,1001.6,1001.2,-9999,25.2,20.6,26.4,25.2,20.8,20.3,76,70,76,83,1.4,0.2,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
13,2019-01-03,04:00,0.0,1002.5,1002.8,1002.5,-9999,25.2,20.2,25.5,25.0,20.2,20.0,74,72,74,55,3.0,1.4,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
14,2019-01-03,08:00,0.0,1001.7,1001.7,1001.4,-9999,25.2,20.7,25.2,25.0,20.7,20.6,77,76,76,49,8.4,3.3,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
15,2019-01-03,12:00,0.0,1005.1,1005.1,1004.4,527,25.9,20.1,25.9,24.9,20.2,20.0,74,70,71,49,8.6,3.6,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
16,2019-01-03,16:00,0.0,1003.3,1004.2,1003.3,2018,29.9,18.8,31.8,29.1,20.2,18.4,58,47,52,47,8.6,4.1,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
17,2019-01-03,20:00,0.0,1000.0,1000.4,1000.0,1676,32.4,16.7,34.1,32.2,18.4,16.7,43,37,39,47,6.8,2.7,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
18,2019-01-04,00:00,0.0,1001.0,1001.0,1000.6,-9999,28.4,19.5,29.7,28.4,19.5,18.3,59,50,59,46,5.3,2.1,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
19,2019-01-04,04:00,0.0,1003.2,1003.4,1003.1,-9999,26.2,20.9,26.9,26.2,20.9,20.5,73,68,73,74,8.1,2.6,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
20,2019-01-04,08:00,0.0,1002.5,1002.6,1002.3,-9999,24.4,20.4,25.1,24.4,20.6,20.1,79,74,78,49,7.0,2.3,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
21,2019-01-04,12:00,0.0,1005.2,1005.2,1004.4,420,25.6,20.3,25.7,24.8,20.5,20.1,76,72,73,62,6.5,2.2,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
22,2019-01-04,16:00,0.0,1004.6,1005.6,1004.6,2698,29.0,23.1,29.0,25.6,23.3,21.7,82,68,70,37,8.0,2.8,N,RR,BOA VISTA,A135,2.816897,-60.690821,82.35
