,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
0,2008-04-11,00:00,0.0,995.2,1000.6,995.2,-9999,25.7,23.7,26.3,25.7,23.8,23.2,89,83,89,138,1.4,0.2,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
1,2008-04-11,04:00,0.0,989.5,990.2,989.4,-9999,24.8,23.2,25.2,24.8,23.5,23.2,91,89,91,120,1.3,0.1,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
2,2008-04-11,08:00,0.0,988.9,989.7,988.8,-9999,24.1,23.2,24.3,24.0,23.2,22.9,95,93,94,91,1.4,0.5,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
3,2008-04-11,12:00,4.0,996.6,997.1,993.2,201,24.7,23.3,26.6,24.1,24.7,22.7,95,85,92,335,9.1,2.9,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
4,2008-04-11,16:00,0.0,1017.4,1019.0,1017.2,1545,27.2,23.3,27.5,27.1,23.5,22.4,79,75,79,21,4.8,2.4,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
5,2008-04-11,20:00,0.0,1002.1,1002.9,1002.1,880,27.6,22.7,28.0,27.4,23.9,21.5,81,68,75,6,2.4,0.6,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
6,2008-04-12,00:00,0.0,1006.1,1006.1,1004.9,-9999,25.6,23.4,25.7,25.3,23.5,23.2,90,86,88,156,1.5,0.1,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
7,2008-04-12,04:00,0.0,1006.4,1007.3,1006.4,-9999,25.1,24.0,25.3,25.1,24.2,24.0,94,93,94,184,1.6,0.5,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
8,2008-04-12,08:00,0.0,1004.9,1005.1,1004.8,-9999,24.5,23.7,24.9,24.5,23.9,23.7,95,94,95,158,1.8,1.1,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
9,2008-04-12,12:00,10.6,1008.7,1008.7,1007.2,389,24.4,23.0,24.4,23.4,23.3,22.5,96,91,92,323,5.6,1.4,N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52.0
