,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
0,2019-01-01,00:00,0.0,1008.2,1008.2,1007.3,-9999,25.2,23.8,25.4,25.1,23.8,23.6,92,90,92,110,1.8,0.3,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
1,2019-01-01,04:00,0.0,1009.1,1009.7,1009.1,-9999,23.8,22.7,24.8,23.8,23.6,22.7,93,92,93,353,2.3,0.2,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
2,2019-01-01,08:00,0.0,1007.6,1007.6,1007.2,-9999,23.6,22.9,23.6,23.3,22.9,22.4,96,95,95,113,0.6,0.0,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
3,2019-01-01,12:00,0.0,1010.6,1010.6,1009.9,434,26.7,24.4,26.7,25.9,24.6,24.2,92,87,88,95,3.0,1.2,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
4,2019-01-01,16:00,0.0,1008.7,1009.7,1008.7,2018,31.2,24.2,31.5,29.9,25.1,23.3,72,63,66,236,4.6,0.9,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
5,2019-01-01,20:00,0.0,1006.1,1006.3,1005.9,1283,32.0,23.4,32.4,27.1,23.9,22.6,80,57,61,236,3.9,1.4,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
6,2019-01-02,00:00,0.0,1008.5,1008.5,1007.6,-9999,26.5,23.6,26.6,26.2,23.6,22.5,84,80,84,216,2.6,1.0,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
7,2019-01-02,04:00,0.0,1009.0,1009.8,1009.0,-9999,25.8,23.6,25.8,25.4,23.8,23.6,90,88,88,115,2.7,1.5,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
8,2019-01-02,08:00,0.0,1008.0,1008.0,1007.7,-9999,24.4,23.5,24.6,24.4,23.5,23.3,94,93,94,357,0.0,0.0,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
9,2019-01-02,12:00,0.0,1011.5,1011.6,1010.8,786,27.1,23.6,27.6,26.0,24.5,23.3,89,80,81,236,3.0,1.4,N,AM,URUCARA,A124,-2.534749,-57.758099,18.49
