,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
0,2019-01-01,00:00,2.6,1007.8,1007.8,1007.2,0,24.2,23.2,24.3,23.8,23.3,22.6,94,93,94,180,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
1,2019-01-01,04:00,0.0,1008.3,1008.9,1008.3,0,24.1,23.1,24.1,23.9,23.2,22.9,94,94,94,125,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
2,2019-01-01,08:00,0.0,1007.1,1007.1,1006.7,0,24.2,23.2,24.2,24.1,23.3,23.2,94,94,94,160,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
3,2019-01-01,12:00,0.0,1010.0,1010.0,1009.6,507,25.5,23.6,25.5,24.5,23.6,23.2,93,89,89,158,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
4,2019-01-01,16:00,0.6,1008.4,1009.4,1008.4,1636,29.7,24.1,29.8,28.4,25.1,23.6,81,70,72,58,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
5,2019-01-01,20:00,0.0,1005.3,1005.4,1005.2,765,30.2,24.3,30.6,29.8,25.0,23.8,75,69,71,206,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
6,2019-01-02,00:00,0.0,1007.8,1007.8,1006.9,0,26.8,23.8,27.2,26.8,24.2,23.8,85,83,84,144,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
7,2019-01-02,04:00,0.0,1008.6,1009.3,1008.6,0,24.4,23.0,24.7,24.4,23.0,22.9,91,90,91,184,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
8,2019-01-02,08:00,0.0,1007.5,1007.5,1007.0,0,24.1,22.9,24.3,24.1,22.9,22.8,93,92,93,86,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
9,2019-01-02,12:00,0.0,1011.5,1011.5,1010.4,323,25.5,23.0,25.6,24.7,23.4,23.0,92,86,86,152,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
10,2019-01-02,16:00,0.0,1009.8,1010.7,1009.8,1865,29.9,24.1,29.9,28.5,24.4,23.1,75,69,71,152,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
11,2019-01-02,20:00,0.0,1006.2,1006.2,1005.6,1102,28.2,23.1,32.2,28.2,23.8,22.5,74,58,74,112,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
12,2019-01-03,00:00,0.0,1007.1,1007.1,1006.5,0,25.7,23.5,26.0,25.5,23.6,23.4,88,86,88,105,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
13,2019-01-03,04:00,0.0,1008.1,1008.9,1008.1,0,24.8,23.6,24.8,24.7,23.6,23.3,93,92,93,180,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
14,2019-01-03,08:00,0.0,1006.9,1006.9,1006.5,0,24.6,23.6,24.7,24.5,23.7,23.5,94,94,94,160,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
15,2019-01-03,12:00,0.0,1009.3,1009.3,1008.7,1153,28.0,24.2,28.2,26.7,24.4,23.8,86,78,80,85,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
16,2019-01-03,16:00,0.0,1008.3,1009.2,1008.3,2015,31.3,23.5,31.3,29.6,24.2,22.7,69,63,63,87,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
17,2019-01-03,20:00,0.0,1005.0,1005.4,1004.9,1626,31.5,22.4,32.1,31.4,24.4,21.9,66,56,59,84,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
18,2019-01-04,00:00,0.0,1007.1,1007.1,1006.2,0,27.9,23.2,28.9,27.9,23.4,23.1,76,71,75,118,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
19,2019-01-04,04:00,0.0,1008.1,1008.6,1008.1,0,25.0,23.5,25.4,25.0,23.7,23.4,91,90,91,188,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
20,2019-01-04,08:00,0.0,1007.1,1007.2,1007.1,0,24.2,23.0,24.5,24.1,23.3,22.9,93,93,93,179,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
21,2019-01-04,12:00,0.0,1010.6,1010.6,1009.7,1080,28.9,24.4,29.2,27.3,25.0,24.0,85,75,76,85,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
22,2019-01-04,16:00,0.0,1008.7,1009.5,1008.7,2589,31.5,23.6,32.2,30.6,24.6,23.2,68,61,63,39,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
23,2019-01-04,20:00,0.2,1005.0,1005.4,1005.0,1535,31.6,22.8,32.0,29.7,25.0,22.7,75,58,60,89,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
24,2019-01-05,00:00,0.8,1007.1,1007.1,1006.4,0,27.5,23.0,27.8,27.3,23.6,23.0,79,77,77,114,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
25,2019-01-05,04:00,0.0,1008.8,1009.1,1008.8,0,25.1,23.5,25.3,25.1,23.7,23.4,91,90,91,183,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
26,2019-01-05,08:00,0.0,1007.4,1007.4,1007.1,0,25.9,24.6,25.9,25.7,24.6,24.5,93,93,93,196,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
27,2019-01-05,12:00,0.0,1010.4,1010.4,1009.9,1144,28.1,23.4,28.5,26.7,24.6,23.4,88,76,76,28,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
28,2019-01-05,16:00,0.6,1008.7,1009.4,1008.7,1618,29.9,25.0,31.4,29.8,25.3,24.2,75,67,75,15,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
29,2019-01-05,20:00,0.0,1004.7,1005.1,1004.7,1445,30.1,24.1,30.6,29.2,24.6,23.6,73,68,70,24,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
30,2019-01-06,00:00,0.6,1008.1,1008.2,1007.3,0,27.9,24.8,28.4,27.9,25.2,24.6,84,82,83,167,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
31,2019-01-06,04:00,0.0,1008.9,1009.2,1008.8,0,25.7,24.3,26.1,25.7,24.5,23.8,92,87,92,228,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
32,2019-01-06,08:00,0.6,1007.9,1007.9,1007.2,0,26.2,24.5,26.4,26.2,24.8,24.4,92,90,90,308,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
33,2019-01-06,12:00,0.8,1010.9,1011.0,1010.0,249,25.5,23.4,25.5,24.9,23.5,23.1,92,87,88,43,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
34,2019-01-06,16:00,0.2,1009.4,1010.6,1009.4,1154,27.2,23.1,27.3,26.7,23.3,22.7,80,77,78,53,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
35,2019-01-06,20:00,0.0,1005.7,1006.4,1005.6,1872,29.4,23.8,30.3,29.1,24.4,23.3,73,68,71,359,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
36,2019-01-07,00:00,0.0,1007.6,1007.6,1007.0,0,26.3,24.1,27.4,26.3,24.6,24.1,88,84,88,287,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
37,2019-01-07,04:00,0.0,1008.2,1009.0,1008.2,0,25.5,23.7,25.9,25.5,24.0,23.6,90,88,90,323,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
38,2019-01-07,08:00,0.0,1007.1,1007.1,1006.8,0,25.5,24.1,25.5,25.4,24.1,23.8,92,91,92,330,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
39,2019-01-07,12:00,0.6,1010.3,1010.3,1009.3,84,25.0,24.0,25.0,24.8,24.0,23.8,94,94,94,180,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
40,2019-01-07,16:00,0.2,1010.0,1010.9,1010.0,312,24.0,23.0,24.0,23.6,23.0,22.5,94,94,94,121,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
41,2019-01-07,20:00,0.2,1006.8,1007.1,1006.7,365,25.2,23.2,25.3,25.1,23.4,23.0,89,88,88,53,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
42,2019-01-08,00:00,1.0,1007.9,1007.9,1007.3,0,24.4,23.1,24.5,24.3,23.2,23.1,93,93,93,133,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
43,2019-01-08,04:00,0.8,1008.5,1009.1,1008.5,0,24.2,23.2,24.2,24.2,23.2,23.2,94,94,94,170,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
44,2019-01-08,08:00,0.8,1008.3,1008.4,1008.0,0,23.5,22.2,23.8,23.5,22.4,22.2,93,92,93,118,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
45,2019-01-08,12:00,0.6,1010.6,1010.6,1010.1,614,25.1,22.5,25.3,24.4,23.1,22.4,90,85,86,120,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
46,2019-01-08,16:00,0.0,1010.2,1010.9,1010.2,1377,28.5,23.6,28.6,27.8,23.6,22.4,75,71,75,96,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
47,2019-01-08,20:00,0.2,1006.6,1007.3,1006.6,950,28.6,23.5,29.1,27.0,24.2,22.4,82,69,74,116,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
48,2019-01-09,00:00,0.0,1007.8,1007.8,1007.4,0,26.1,22.5,26.3,26.0,22.7,22.5,82,80,81,93,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
49,2019-01-09,04:00,0.0,1008.5,1009.0,1008.5,0,24.4,22.8,24.9,24.4,22.9,22.8,91,88,91,64,0.0,0.0,N,AM,AUTAZES,A120,-3.583333,-59.12944,19.9
