,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
0,2019-01-01,00:00,0.0,1010.2,1010.2,1009.1,-9999,25.3,20.9,25.6,25.3,21.2,20.9,77,76,76,44,2.6,0.7,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
1,2019-01-01,04:00,0.0,1009.5,1009.7,1009.5,-9999,23.7,20.3,24.0,23.7,20.4,20.2,81,80,81,34,1.2,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
2,2019-01-01,08:00,0.0,1008.9,1008.9,1008.2,-9999,23.5,20.4,23.5,23.4,20.4,20.3,83,82,83,33,1.2,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
3,2019-01-01,12:00,0.0,1011.4,1011.4,1010.8,1263,26.7,22.5,27.0,25.7,23.0,22.1,81,78,78,41,4.3,1.2,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
4,2019-01-01,16:00,0.0,1009.2,1010.4,1009.2,3054,31.3,22.6,31.6,30.2,23.6,22.3,65,59,60,95,8.5,3.7,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
5,2019-01-01,20:00,0.0,1007.5,1007.5,1007.2,1381,30.3,20.8,31.6,30.2,20.9,19.6,57,51,57,102,10.3,5.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
6,2019-01-02,00:00,0.0,1010.4,1010.4,1009.5,-9999,26.0,20.9,26.8,26.0,21.1,20.9,73,71,73,74,2.5,1.1,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
7,2019-01-02,04:00,0.0,1009.5,1010.2,1009.5,-9999,24.2,20.6,24.4,24.2,20.6,20.5,80,79,80,32,0.8,0.3,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
8,2019-01-02,08:00,0.0,1009.1,1009.1,1008.8,-9999,24.1,20.9,24.2,24.1,21.0,20.8,82,82,82,23,1.0,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
9,2019-01-02,12:00,0.0,1011.9,1011.9,1011.4,1087,27.2,23.0,27.2,25.7,23.2,22.1,82,78,78,59,4.0,1.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
10,2019-01-02,16:00,0.0,1010.1,1011.2,1010.1,2326,29.9,22.7,31.2,29.0,24.3,22.5,71,63,65,84,10.2,3.0,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
11,2019-01-02,20:00,0.0,1007.7,1007.7,1007.6,1395,30.8,21.9,30.9,29.9,22.2,21.0,60,57,59,83,12.1,3.0,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
12,2019-01-03,00:00,0.0,1010.2,1010.2,1009.9,-9999,25.9,21.2,26.3,25.9,21.2,20.9,75,72,75,50,3.0,0.8,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
13,2019-01-03,04:00,0.0,1009.8,1010.7,1009.8,-9999,24.9,21.3,25.2,24.9,21.4,21.3,80,79,80,41,1.9,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
14,2019-01-03,08:00,0.0,1008.4,1008.5,1008.2,-9999,24.2,20.9,24.3,24.1,21.0,20.9,82,82,82,266,1.5,0.2,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
15,2019-01-03,12:00,0.0,1011.3,1011.4,1010.7,829,25.2,21.3,25.2,23.8,21.4,20.4,82,78,79,48,2.9,0.9,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
16,2019-01-03,16:00,0.0,1010.0,1010.7,1010.0,2227,28.6,21.9,30.1,28.6,23.3,21.8,69,64,67,100,11.5,4.9,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
17,2019-01-03,20:00,0.0,1008.7,1008.7,1008.3,467,26.7,22.0,27.0,25.8,22.4,21.2,77,75,76,82,5.8,1.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
18,2019-01-04,00:00,0.0,1010.1,1010.1,1009.5,-9999,25.1,21.3,25.4,25.1,21.4,21.3,80,79,80,56,4.5,1.0,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
19,2019-01-04,04:00,0.0,1009.6,1010.1,1009.6,-9999,24.4,21.0,24.6,24.4,21.1,20.9,81,81,81,63,3.0,0.7,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
20,2019-01-04,08:00,0.0,1009.1,1009.2,1008.6,-9999,24.1,20.9,24.1,24.0,21.0,20.8,83,82,83,31,1.7,0.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
21,2019-01-04,12:00,0.0,1011.7,1011.9,1011.2,540,26.3,22.5,26.3,25.1,22.5,21.6,82,80,80,47,3.6,0.8,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
22,2019-01-04,16:00,0.0,1010.0,1010.7,1010.0,1448,29.5,22.7,31.4,29.5,24.2,22.7,68,64,67,78,7.4,2.3,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
23,2019-01-04,20:00,1.6,1008.3,1008.5,1007.6,519,24.8,20.2,29.0,24.8,22.8,19.9,76,67,76,93,16.1,4.5,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
24,2019-01-05,00:00,0.0,1009.7,1009.7,1009.3,-9999,24.8,21.0,24.8,24.6,21.0,20.8,80,79,79,89,3.4,1.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
25,2019-01-05,04:00,0.0,1009.3,1009.8,1009.3,-9999,24.6,21.3,24.6,24.5,21.3,21.1,82,82,82,23,1.9,0.5,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
26,2019-01-05,08:00,0.0,1008.8,1008.8,1008.3,-9999,24.5,21.4,24.6,24.5,21.5,21.4,83,83,83,8,1.1,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
27,2019-01-05,12:00,12.0,1011.9,1011.9,1010.8,185,24.4,21.4,25.5,24.2,22.3,21.1,84,82,83,95,7.7,4.3,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
28,2019-01-05,16:00,7.2,1010.1,1011.1,1010.1,1536,25.7,22.2,29.3,25.0,24.6,21.0,82,74,81,50,8.5,1.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
29,2019-01-05,20:00,0.0,1008.2,1008.2,1007.6,366,26.9,22.1,28.1,26.9,23.2,22.1,76,75,75,50,5.3,1.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
30,2019-01-06,00:00,0.0,1010.4,1010.4,1009.7,-9999,25.4,21.7,25.6,25.3,21.8,21.5,80,79,80,39,2.1,0.7,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
31,2019-01-06,04:00,0.0,1009.9,1010.6,1009.9,-9999,24.6,21.3,24.8,24.5,21.4,21.3,82,82,82,31,1.0,0.3,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
32,2019-01-06,08:00,0.0,1009.0,1009.0,1008.6,-9999,24.1,21.0,24.4,24.1,21.3,21.0,83,83,83,344,1.4,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
33,2019-01-06,12:00,0.0,1011.3,1011.4,1010.8,1171,26.8,22.9,27.6,26.2,23.9,22.6,81,79,80,33,3.3,0.8,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
34,2019-01-06,16:00,0.0,1009.0,1009.9,1009.0,3068,30.8,24.2,31.3,29.3,24.8,22.9,71,66,68,86,9.0,3.0,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
35,2019-01-06,20:00,6.8,1007.3,1007.3,1006.5,204,26.1,22.3,27.5,23.8,23.1,19.5,80,75,80,88,11.7,1.2,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
36,2019-01-07,00:00,0.0,1009.7,1009.7,1008.6,0,25.2,21.6,25.4,25.2,21.7,21.6,80,80,80,14,3.7,0.3,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
37,2019-01-07,04:00,0.0,1009.1,1009.7,1009.1,-9999,24.7,21.3,24.9,24.7,21.5,21.3,82,81,82,16,2.1,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
38,2019-01-07,08:00,0.0,1008.6,1008.6,1008.2,-9999,23.9,20.8,24.0,23.8,20.9,20.8,83,83,83,29,1.3,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
39,2019-01-07,12:00,0.0,1010.5,1010.5,1009.8,1256,26.9,23.0,27.4,25.7,23.8,22.3,82,79,79,42,3.5,0.9,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
40,2019-01-07,16:00,0.0,1009.1,1009.7,1009.1,1533,27.9,23.1,27.9,26.4,23.1,22.3,79,75,75,82,6.7,2.0,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
41,2019-01-07,20:00,1.6,1008.4,1008.7,1008.1,272,23.6,19.6,24.6,23.3,21.0,19.4,81,78,78,149,16.0,4.9,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
42,2019-01-08,00:00,0.4,1010.4,1010.4,1009.6,-9999,23.5,20.3,23.5,23.3,20.3,19.9,82,82,82,60,1.3,0.5,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
43,2019-01-08,04:00,0.0,1009.5,1009.9,1009.5,-9999,23.5,20.5,23.5,23.4,20.5,20.3,83,83,83,39,1.5,0.5,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
44,2019-01-08,08:00,0.0,1008.5,1008.5,1008.3,-9999,23.5,20.6,23.6,23.4,20.6,20.4,84,83,84,25,2.0,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
45,2019-01-08,12:00,0.4,1010.8,1010.8,1010.4,925,26.0,22.6,26.1,23.8,22.9,20.9,84,82,82,6,2.5,0.8,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
46,2019-01-08,16:00,0.2,1009.2,1010.2,1009.2,1871,29.1,24.4,29.1,26.2,24.8,22.1,80,75,76,133,4.4,0.8,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
47,2019-01-08,20:00,1.8,1008.2,1008.3,1007.8,113,23.7,20.1,26.0,23.7,22.5,19.9,81,78,80,116,10.9,3.7,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
48,2019-01-09,00:00,2.8,1011.0,1011.1,1010.2,-9999,23.7,20.6,23.8,23.6,20.7,20.5,83,82,83,248,2.4,0.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
49,2019-01-09,04:00,0.2,1009.3,1010.3,1009.3,-9999,23.0,20.1,23.2,23.0,20.3,20.1,84,84,84,31,1.3,0.5,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
50,2019-01-09,08:00,0.0,1008.3,1008.3,1008.1,-9999,22.4,19.6,22.6,22.4,19.8,19.6,84,84,84,354,1.6,0.4,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
51,2019-01-09,12:00,0.0,1010.1,1010.1,1009.2,677,24.4,21.3,24.5,23.0,21.4,20.2,85,83,83,29,4.1,0.7,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
52,2019-01-09,16:00,5.0,1008.6,1009.0,1008.6,935,24.9,21.7,28.6,24.6,24.3,20.8,82,75,82,113,8.1,3.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
53,2019-01-09,20:00,0.2,1007.1,1007.1,1006.7,287,24.2,21.0,24.5,24.2,21.2,20.9,82,81,82,32,4.5,0.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
54,2019-01-10,00:00,2.0,1009.1,1009.1,1008.8,-9999,23.6,20.7,23.6,23.6,20.7,20.6,84,83,84,59,2.3,0.8,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
55,2019-01-10,04:00,0.0,1009.0,1010.0,1009.0,-9999,22.9,20.0,23.0,22.9,20.1,20.0,84,83,84,37,2.8,0.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
56,2019-01-10,08:00,0.0,1007.9,1007.9,1007.7,-9999,22.4,19.7,22.5,22.4,19.8,19.6,84,84,84,23,1.7,0.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
57,2019-01-10,12:00,1.0,1011.2,1011.2,1010.6,600,24.2,21.2,24.3,23.2,21.4,20.4,84,83,84,40,3.3,1.0,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
58,2019-01-10,16:00,0.0,1009.4,1010.5,1009.4,2466,28.3,22.6,29.0,27.7,24.0,22.3,76,70,71,116,4.6,2.9,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
59,2019-01-10,20:00,0.0,1007.6,1007.8,1007.6,827,25.1,21.1,26.0,25.1,21.8,21.1,78,77,78,33,4.1,1.1,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
60,2019-01-11,00:00,13.6,1010.6,1010.6,1009.8,-9999,23.0,19.9,23.7,23.0,20.3,19.9,83,82,83,50,4.6,0.9,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
61,2019-01-11,04:00,1.4,1010.4,1011.3,1010.4,-9999,22.7,19.8,22.8,22.6,19.9,19.7,84,83,84,242,1.6,0.3,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
62,2019-01-11,08:00,3.4,1010.3,1010.3,1010.1,-9999,22.5,19.7,22.5,22.4,19.7,19.6,84,84,84,308,3.7,2.6,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
63,2019-01-11,12:00,0.0,1012.7,1012.7,1012.4,626,23.8,20.8,23.8,22.8,20.8,20.1,84,83,83,294,2.7,2.0,N,AP,ITAUBAL,A251,0.567833,-50.823528,21.0
