,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
0,2020-01-01,00:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,N,AM,PRESIDENTE FIGUEIREDO,A126,-2.05666666,-60.02583332,60.99
1,2020-01-01,04:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,N,AM,PRESIDENTE FIGUEIREDO,A126,-2.05666666,-60.02583332,60.99
2,2020-01-01,08:00,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999.0,-9999.0,N,AM,PRESIDENTE FIGUEIREDO,A126,-2.05666666,-60.02583332,60.99
3,2020-01-01,12:00,0.0,1003.7,1003.7,1003.0,1030,27.6,23.5,27.9,23.2,25.1,22.5,96,78,79,90,2.0,0.1,N,AM,PRESIDENTE FIGUEIREDO,A126,-2.05666666,-60.02583332,60.99
4,2020-01-01,16:00,0.0,1003.5,1003.9,1003.5,2184,30.3,21.1,31.5,30.0,22.1,20.6,59,54,58,64,7.5,3.6,N,AM,PRESIDENTE FIGUEIREDO,A126,-2.05666666,-60.02583332,60.99
5,2020-01-01,20:00,0.4,1001.0,1001.3,1001.0,312,29.0,22.0,29.9,29.0,22.4,21.3,66,61,66,76,5.1,1.7,N,AM,PRESIDENTE FIGUEIREDO,A126,-2.05666666,-60.02583332,60.99
