,Data,Hora,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",region,state,station,station_code,latitude,longitude,height
0,2019-01-01,00:00,0.0,1008.3,1008.4,1007.4,-9999,25.6,23.1,26.2,25.6,23.2,23.1,87,83,87,1,4.0,0.0,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
1,2019-01-01,04:00,0.0,1007.2,1007.9,1007.2,-9999,24.8,23.3,25.1,24.8,23.6,23.2,92,90,92,202,0.0,0.0,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
2,2019-01-01,08:00,0.0,1007.3,1007.3,1006.5,-9999,24.2,23.1,24.4,24.2,23.3,23.1,94,93,94,5,4.7,0.0,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
3,2019-01-01,12:00,0.0,1009.3,1009.3,1008.9,-9999,28.3,23.7,29.1,28.1,25.1,23.6,82,75,76,35,7.8,0.7,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
4,2019-01-01,16:00,0.0,1007.5,1008.1,1007.5,-9999,32.4,23.0,32.7,31.2,24.7,21.9,64,55,58,54,9.4,3.9,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
5,2019-01-01,20:00,0.0,1006.5,1006.5,1005.9,-9999,29.1,22.7,30.8,29.1,23.8,22.6,68,64,68,31,7.9,2.3,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
6,2019-01-02,00:00,0.0,1008.7,1008.9,1008.0,-9999,26.3,23.1,26.6,26.3,23.6,23.1,85,82,83,54,5.3,1.9,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
7,2019-01-02,04:00,0.0,1007.2,1008.3,1007.2,-9999,24.9,23.4,25.3,24.8,23.6,23.2,92,90,92,30,1.6,0.0,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
8,2019-01-02,08:00,0.0,1007.0,1007.1,1006.9,-9999,24.8,23.6,25.0,24.6,23.7,23.3,93,92,93,45,0.5,0.0,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
9,2019-01-02,12:00,0.0,1009.4,1009.4,1009.0,-9999,30.4,24.4,30.4,28.4,25.4,23.7,80,69,71,53,7.3,2.5,N,PA,BRAGANCA,A226,-1.047258,-46.78579,41.0
